State,Year,Marriage rate
Alabama,1990,10.6
Alabama,1995,9.8
Alabama,1999,10.8
Alabama,2000,10.1
Alabama,2001,9.4
Alabama,2002,9.9
Alabama,2003,9.6
Alabama,2004,9.4
Alabama,2005,9.2
Alabama,2006,9.2
Alabama,2007,8.9
Alabama,2008,8.6
Alabama,2009,8.3
Alabama,2010,8.2
Alabama,2011,8.4
Alabama,2012,8.2
Alabama,2013,7.817785135
Alabama,2014,7.806776004
Alabama,2015,7.351544429
Alabama,2016,7.147821438
Alabama,2017,7.047340098
Alaska,1990,10.2
Alaska,1995,9
Alaska,1999,8.6
Alaska,2000,8.9
Alaska,2001,8.1
Alaska,2002,8.3
Alaska,2003,8.1
Alaska,2004,8.5
Alaska,2005,8.2
Alaska,2006,8.2
Alaska,2007,8.5
Alaska,2008,8.4
Alaska,2009,7.8
Alaska,2010,8
Alaska,2011,7.8
Alaska,2012,7.2
Alaska,2013,7.293928165
Alaska,2014,7.50883632
Alaska,2015,7.40758797
Alaska,2016,7.103440653
Alaska,2017,6.914077549
Arizona,1990,10
Arizona,1995,8.8
Arizona,1999,8.2
Arizona,2000,7.5
Arizona,2001,7.6
Arizona,2002,6.7
Arizona,2003,6.5
Arizona,2004,6.7
Arizona,2005,6.6
Arizona,2006,6.5
Arizona,2007,6.4
Arizona,2008,6
Arizona,2009,5.6
Arizona,2010,5.9
Arizona,2011,5.7
Arizona,2012,5.6
Arizona,2013,5.401091114
Arizona,2014,5.780449006
Arizona,2015,5.922468518
Arizona,2016,5.930540893
Arizona,2017,5.834866674
Arkansas,1990,15.3
Arkansas,1995,14.4
Arkansas,1999,14.8
Arkansas,2000,15.4
Arkansas,2001,14.3
Arkansas,2002,14.3
Arkansas,2003,13.4
Arkansas,2004,13.4
Arkansas,2005,12.9
Arkansas,2006,12.4
Arkansas,2007,12
Arkansas,2008,10.6
Arkansas,2009,10.7
Arkansas,2010,10.8
Arkansas,2011,10.4
Arkansas,2012,10.9
Arkansas,2013,9.751051996
Arkansas,2014,10.11202585
Arkansas,2015,10.04027931
Arkansas,2016,9.860962009
Arkansas,2017,9.45684472
California 1,1990,7.9
California 1,1995,6.3
California 1,1999,6.4
California 1,2000,5.8
California 1,2001,6.5
California 1,2002,6.2
California 1,2003,6.1
California 1,2004,6.4
California 1,2005,6.4
California 1,2006,6.3
California 1,2007,6.2
California 1,2008,6.7
California 1,2009,5.8
California 1,2010,5.8
California 1,2011,5.8
California 1,2012,6
California 1,2013,6.460467341
California 1,2014,6.441492172
California 1,2015,6.184956589
California 1,2016,6.463589557
California 1,2017,6.27825021
Colorado,1990,9.8
Colorado,1995,9
Colorado,1999,8.2
Colorado,2000,8.3
Colorado,2001,8.2
Colorado,2002,8
Colorado,2003,7.8
Colorado,2004,7.4
Colorado,2005,7.6
Colorado,2006,7.2
Colorado,2007,7.1
Colorado,2008,7.4
Colorado,2009,6.9
Colorado,2010,6.9
Colorado,2011,7
Colorado,2012,6.8
Colorado,2013,6.452663605
Colorado,2014,7.06160311
Colorado,2015,6.79180746
Colorado,2016,7.425442804
Colorado,2017,7.333845298
Connecticut,1990,7.9
Connecticut,1995,6.6
Connecticut,1999,5.8
Connecticut,2000,5.7
Connecticut,2001,5.4
Connecticut,2002,5.7
Connecticut,2003,5.5
Connecticut,2004,5.8
Connecticut,2005,5.8
Connecticut,2006,5.5
Connecticut,2007,5.5
Connecticut,2008,5.4
Connecticut,2009,5.9
Connecticut,2010,5.6
Connecticut,2011,5.5
Connecticut,2012,5.2
Connecticut,2013,5.021022892
Connecticut,2014,5.368844631
Connecticut,2015,5.292008713
Connecticut,2016,5.617858145
Connecticut,2017,5.55378431
Delaware,1990,8.4
Delaware,1995,7.3
Delaware,1999,6.7
Delaware,2000,6.5
Delaware,2001,6.5
Delaware,2002,6.4
Delaware,2003,6
Delaware,2004,6.1
Delaware,2005,5.9
Delaware,2006,5.9
Delaware,2007,5.7
Delaware,2008,5.5
Delaware,2009,5.4
Delaware,2010,5.2
Delaware,2011,5.2
Delaware,2012,5.8
Delaware,2013,6.571975773
Delaware,2014,6.0227829
Delaware,2015,5.712872145
Delaware,2016,5.613062133
Delaware,2017,5.528417083
District of Columbia,1990,8.2
District of Columbia,1995,6.1
District of Columbia,1999,6.6
District of Columbia,2000,4.9
District of Columbia,2001,6.2
District of Columbia,2002,5.1
District of Columbia,2003,5.1
District of Columbia,2004,5.2
District of Columbia,2005,4.1
District of Columbia,2006,4
District of Columbia,2007,4.2
District of Columbia,2008,4.1
District of Columbia,2009,4.7
District of Columbia,2010,7.6
District of Columbia,2011,8.7
District of Columbia,2012,8.4
District of Columbia,2013,10.79126118
District of Columbia,2014,11.82134277
District of Columbia,2015,8.220425213
District of Columbia,2016,8.149213853
District of Columbia,2017,8.239525514
Florida,1990,10.9
Florida,1995,9.9
Florida,1999,8.7
Florida,2000,8.9
Florida,2001,9.3
Florida,2002,9.4
Florida,2003,9
Florida,2004,9
Florida,2005,8.9
Florida,2006,8.6
Florida,2007,8.5
Florida,2008,8
Florida,2009,7.5
Florida,2010,7.3
Florida,2011,7.4
Florida,2012,7.2
Florida,2013,7.009613939
Florida,2014,7.301404086
Florida,2015,8.234362402
Florida,2016,8.125967043
Florida,2017,7.806894646
Georgia,1990,10.3
Georgia,1995,8.4
Georgia,1999,7.8
Georgia,2000,6.8
Georgia,2001,6.1
Georgia,2002,6.5
Georgia,2003,7
Georgia,2004,7.9
Georgia,2005,7
Georgia,2006,7.3
Georgia,2007,6.8
Georgia,2008,6
Georgia,2009,6.6
Georgia,2010,7.3
Georgia,2011,6.6
Georgia,2012,6.5
Georgia,2015,6.200378664
Georgia,2016,6.753976166
Georgia,2017,6.870974772
Hawaii,1990,16.4
Hawaii,1995,15.7
Hawaii,1999,18.9
Hawaii,2000,20.6
Hawaii,2001,19.6
Hawaii,2002,20.8
Hawaii,2003,22
Hawaii,2004,22.6
Hawaii,2005,22.6
Hawaii,2006,21.9
Hawaii,2007,20.8
Hawaii,2008,19.1
Hawaii,2009,17.2
Hawaii,2010,17.6
Hawaii,2011,17.6
Hawaii,2012,17.5
Hawaii,2013,16.29424509
Hawaii,2014,17.70265596
Hawaii,2015,15.94017336
Hawaii,2016,15.55555711
Hawaii,2017,15.3467018
Idaho,1990,13.9
Idaho,1995,13.1
Idaho,1999,12.1
Idaho,2000,10.8
Idaho,2001,11.2
Idaho,2002,11
Idaho,2003,10.9
Idaho,2004,10.8
Idaho,2005,10.5
Idaho,2006,10.1
Idaho,2007,10
Idaho,2008,9.5
Idaho,2009,8.9
Idaho,2010,8.8
Idaho,2011,8.6
Idaho,2012,8.2
Idaho,2013,8.178590392
Idaho,2014,8.366045382
Idaho,2015,8.151402174
Idaho,2016,8.077759426
Idaho,2017,7.796997338
Illinois,1990,8.8
Illinois,1995,6.9
Illinois,1999,7
Illinois,2000,6.9
Illinois,2001,7.2
Illinois,2002,6.6
Illinois,2003,6.5
Illinois,2004,6.2
Illinois,2005,5.9
Illinois,2006,6.2
Illinois,2007,6.1
Illinois,2008,5.9
Illinois,2009,5.7
Illinois,2010,5.7
Illinois,2011,5.6
Illinois,2012,5.8
Illinois,2013,5.394059292
Illinois,2014,6.169054499
Illinois,2015,5.880873204
Illinois,2016,5.8
Illinois,2017,5.98202331
Indiana,1990,9.6
Indiana,1995,8.6
Indiana,1999,8.1
Indiana,2000,7.9
Indiana,2001,7.9
Indiana,2002,7.9
Indiana,2003,7.1
Indiana,2004,7.8
Indiana,2005,6.9
Indiana,2006,7
Indiana,2007,7
Indiana,2008,8
Indiana,2009,7.9
Indiana,2010,6.3
Indiana,2011,6.8
Indiana,2012,6.7
Indiana,2013,6.607464242
Indiana,2014,7.080040413
Indiana,2015,6.856524787
Indiana,2016,6.935418728
Indiana,2017,6.854694398
Iowa,1990,9
Iowa,1995,7.7
Iowa,1999,7.9
Iowa,2000,6.9
Iowa,2001,7.1
Iowa,2002,7
Iowa,2003,6.9
Iowa,2004,6.9
Iowa,2005,6.9
Iowa,2006,6.7
Iowa,2007,6.6
Iowa,2008,6.5
Iowa,2009,7
Iowa,2010,6.9
Iowa,2011,6.7
Iowa,2012,6.8
Iowa,2013,7.390914362
Iowa,2014,6.863899308
Iowa,2015,6.255003763
Iowa,2016,6.149565524
Iowa,2017,6.176028249
Kansas,1990,9.2
Kansas,1995,8.5
Kansas,1999,7.1
Kansas,2000,8.3
Kansas,2001,7.5
Kansas,2002,7.3
Kansas,2003,6.9
Kansas,2004,7
Kansas,2005,6.8
Kansas,2006,6.8
Kansas,2007,6.8
Kansas,2008,6.7
Kansas,2009,6.4
Kansas,2010,6.4
Kansas,2011,6.3
Kansas,2012,6.3
Kansas,2013,5.984539508
Kansas,2014,6.101884249
Kansas,2015,5.936514838
Kansas,2016,6.210940846
Kansas,2017,5.970225081
Kentucky,1990,13.5
Kentucky,1995,12.2
Kentucky,1999,10.9
Kentucky,2000,9.8
Kentucky,2001,9
Kentucky,2002,9
Kentucky,2003,9.1
Kentucky,2004,8.8
Kentucky,2005,8.7
Kentucky,2006,8.4
Kentucky,2007,7.8
Kentucky,2008,7.9
Kentucky,2009,7.6
Kentucky,2010,7.4
Kentucky,2011,7.5
Kentucky,2012,7.2
Kentucky,2013,7.278692329
Kentucky,2014,6.941723914
Kentucky,2015,7.172506244
Kentucky,2016,7.379353586
Kentucky,2017,7.174145507
Louisiana,1990,9.6
Louisiana,1995,9.3
Louisiana,1999,9.1
Louisiana,2000,9.1
Louisiana,2001,8.4
Louisiana,2002,8.1
Louisiana,2003,8.2
Louisiana,2004,8
Louisiana,2005,8
Louisiana,2007,7.5
Louisiana,2008,6.8
Louisiana,2009,7.1
Louisiana,2010,6.9
Louisiana,2011,6.4
Louisiana,2012,5.7
Louisiana,2013,6.370812047
Louisiana,2014,6.892953401
Louisiana,2015,6.777107789
Louisiana,2016,6.106373244
Louisiana,2017,5.592471756
Maine,1990,9.7
Maine,1995,8.7
Maine,1999,8.6
Maine,2000,8.8
Maine,2001,8.6
Maine,2002,8.4
Maine,2003,8.4
Maine,2004,8.6
Maine,2005,8.2
Maine,2006,7.8
Maine,2007,7.4
Maine,2008,7.4
Maine,2009,7.1
Maine,2010,7.1
Maine,2011,7.2
Maine,2012,7.3
Maine,2013,8.310610087
Maine,2014,7.745346364
Maine,2015,7.610612279
Maine,2016,7.640375853
Maine,2017,7.585857399
Maryland,1990,9.7
Maryland,1995,8.4
Maryland,1999,7.5
Maryland,2000,7.5
Maryland,2001,7
Maryland,2002,7.1
Maryland,2003,6.9
Maryland,2004,6.9
Maryland,2005,6.9
Maryland,2006,6.6
Maryland,2007,6.5
Maryland,2008,5.9
Maryland,2009,5.8
Maryland,2010,5.7
Maryland,2011,5.8
Maryland,2012,5.6
Maryland,2013,6.823793089
Maryland,2014,6.461574655
Maryland,2015,6.187232587
Maryland,2016,6.308374361
Maryland,2017,6.268157722
Massachusetts,1990,7.9
Massachusetts,1995,7.1
Massachusetts,1999,6.2
Massachusetts,2000,5.8
Massachusetts,2001,6.2
Massachusetts,2002,5.9
Massachusetts,2003,5.6
Massachusetts,2004,6.5
Massachusetts,2005,6.2
Massachusetts,2006,5.9
Massachusetts,2007,5.9
Massachusetts,2008,5.7
Massachusetts,2009,5.6
Massachusetts,2010,5.6
Massachusetts,2011,5.5
Massachusetts,2012,5.5
Massachusetts,2013,5.501414649
Massachusetts,2014,5.604849996
Massachusetts,2015,5.497009164
Massachusetts,2016,5.77705178
Massachusetts,2017,5.749422835
Michigan,1990,8.2
Michigan,1995,7.3
Michigan,1999,6.8
Michigan,2000,6.7
Michigan,2001,6.7
Michigan,2002,6.5
Michigan,2003,6.3
Michigan,2004,6.2
Michigan,2005,6.1
Michigan,2006,5.9
Michigan,2007,5.7
Michigan,2008,5.6
Michigan,2009,5.4
Michigan,2010,5.5
Michigan,2011,5.7
Michigan,2012,5.6
Michigan,2013,5.812267283
Michigan,2014,5.759102762
Michigan,2015,5.984937782
Michigan,2016,5.935155062
Michigan,2017,5.887087845
Minnesota,1990,7.7
Minnesota,1995,7
Minnesota,1999,6.8
Minnesota,2000,6.8
Minnesota,2001,6.6
Minnesota,2002,6.5
Minnesota,2003,6.3
Minnesota,2004,6
Minnesota,2005,6
Minnesota,2006,6
Minnesota,2007,5.8
Minnesota,2008,5.4
Minnesota,2009,5.3
Minnesota,2010,5.3
Minnesota,2011,5.6
Minnesota,2012,5.6
Minnesota,2013,5.998287943
Minnesota,2014,5.895726597
Minnesota,2015,5.578554625
Minnesota,2016,5.617983635
Minnesota,2017,5.611836303
Mississippi,1990,9.4
Mississippi,1995,7.9
Mississippi,1999,7.8
Mississippi,2000,6.9
Mississippi,2001,6.5
Mississippi,2002,6.4
Mississippi,2003,6.2
Mississippi,2004,6.1
Mississippi,2005,5.8
Mississippi,2006,5.7
Mississippi,2007,5.4
Mississippi,2008,5.1
Mississippi,2009,4.8
Mississippi,2010,4.9
Mississippi,2011,4.9
Mississippi,2012,5.8
Mississippi,2013,6.715683669
Mississippi,2014,6.930344857
Mississippi,2015,6.993874011
Mississippi,2016,7.013690783
Mississippi,2017,6.720619282
Missouri,1990,9.6
Missouri,1995,8.3
Missouri,1999,8.1
Missouri,2000,7.8
Missouri,2001,7.5
Missouri,2002,7.3
Missouri,2003,7.2
Missouri,2004,7.1
Missouri,2005,7
Missouri,2006,6.9
Missouri,2007,6.9
Missouri,2008,6.8
Missouri,2009,6.5
Missouri,2010,6.5
Missouri,2011,6.6
Missouri,2012,6.5
Missouri,2013,6.449850608
Missouri,2014,6.725224945
Missouri,2015,6.209572114
Missouri,2016,6.851633022
Missouri,2017,6.594551235
Montana,1990,8.6
Montana,1995,7.6
Montana,1999,7.4
Montana,2000,7.3
Montana,2001,7.1
Montana,2002,7.1
Montana,2003,7.2
Montana,2004,7.5
Montana,2005,7.4
Montana,2006,7.4
Montana,2007,7.5
Montana,2008,7.6
Montana,2009,7.3
Montana,2010,7.4
Montana,2011,7.8
Montana,2012,7.8
Montana,2013,7.39879724
Montana,2014,7.857722755
Montana,2015,7.962639007
Montana,2016,7.840616967
Montana,2017,7.963879816
Nebraska,1990,8
Nebraska,1995,7.3
Nebraska,1999,7.5
Nebraska,2000,7.6
Nebraska,2001,7.9
Nebraska,2002,7.5
Nebraska,2003,7
Nebraska,2004,7.1
Nebraska,2005,7
Nebraska,2006,6.8
Nebraska,2007,6.8
Nebraska,2008,6.9
Nebraska,2009,6.6
Nebraska,2010,6.6
Nebraska,2011,6.6
Nebraska,2012,6.7
Nebraska,2013,6.294835046
Nebraska,2014,6.415084111
Nebraska,2015,6.378052832
Nebraska,2016,6.465783938
Nebraska,2017,6.313812578
Nevada,1990,99
Nevada,1995,85.2
Nevada,1999,82.3
Nevada,2000,72.2
Nevada,2001,69.6
Nevada,2002,67.4
Nevada,2003,63.9
Nevada,2004,62.1
Nevada,2005,57.4
Nevada,2006,52.1
Nevada,2007,48.6
Nevada,2008,42.3
Nevada,2009,40.3
Nevada,2010,38.3
Nevada,2011,36.9
Nevada,2012,35.1
Nevada,2013,32.28014692
Nevada,2014,31.8509499
Nevada,2015,31.01792037
Nevada,2016,28.39229702
Nevada,2017,28.55633299
New Hampshire,1990,9.5
New Hampshire,1995,8.3
New Hampshire,1999,7.9
New Hampshire,2000,9.4
New Hampshire,2001,8.5
New Hampshire,2002,8.3
New Hampshire,2003,8.1
New Hampshire,2004,8
New Hampshire,2005,7.3
New Hampshire,2006,7.2
New Hampshire,2007,7.1
New Hampshire,2008,6.8
New Hampshire,2009,6.5
New Hampshire,2010,7.3
New Hampshire,2011,7.1
New Hampshire,2012,6.8
New Hampshire,2013,6.90161161
New Hampshire,2014,7.187146945
New Hampshire,2015,6.938181643
New Hampshire,2016,6.977101353
New Hampshire,2017,7.030857279
New Jersey,1990,7.6
New Jersey,1995,6.5
New Jersey,1999,5.9
New Jersey,2000,6
New Jersey,2001,6.4
New Jersey,2002,6
New Jersey,2003,5.8
New Jersey,2004,5.9
New Jersey,2005,5.7
New Jersey,2006,5.5
New Jersey,2007,5.4
New Jersey,2008,5.4
New Jersey,2009,5
New Jersey,2010,5.1
New Jersey,2011,4.8
New Jersey,2012,4.9
New Jersey,2013,5.130830503
New Jersey,2014,5.403116408
New Jersey,2015,5.606042322
New Jersey,2016,5.654779507
New Jersey,2017,5.450803962
New Mexico,1990,8.8
New Mexico,1995,8.8
New Mexico,1999,8
New Mexico,2000,8
New Mexico,2001,7.6
New Mexico,2002,7.9
New Mexico,2003,6.9
New Mexico,2004,7.4
New Mexico,2005,6.6
New Mexico,2006,6.8
New Mexico,2007,5.6
New Mexico,2008,4
New Mexico,2009,5
New Mexico,2010,7.7
New Mexico,2011,8
New Mexico,2012,6.9
New Mexico,2013,7.255595992
New Mexico,2014,8.080277257
New Mexico,2015,6.171859601
New Mexico,2016,6.366124223
New Mexico,2017,5.925567629
New York,1990,8.6
New York,1995,8
New York,1999,7.3
New York,2000,7.1
New York,2001,7.6
New York,2002,7.3
New York,2003,6.8
New York,2004,6.8
New York,2005,6.8
New York,2006,6.9
New York,2007,6.8
New York,2008,6.6
New York,2009,6.5
New York,2010,6.5
New York,2011,6.9
New York,2012,7
New York,2013,6.890139176
New York,2014,6.689784332
New York,2015,7.056095915
New York,2016,7.451752162
New York,2017,7.344655624
North Carolina,1990,7.8
North Carolina,1995,8.4
North Carolina,1999,8.5
North Carolina,2000,8.2
North Carolina,2001,7.4
North Carolina,2002,7.7
North Carolina,2003,7.4
North Carolina,2004,7.3
North Carolina,2005,7.3
North Carolina,2006,7.3
North Carolina,2007,7
North Carolina,2008,6.9
North Carolina,2009,6.6
North Carolina,2010,6.6
North Carolina,2011,6.7
North Carolina,2012,6.6
North Carolina,2013,6.51001314
North Carolina,2014,6.892221251
North Carolina,2015,6.959910192
North Carolina,2016,6.967623646
North Carolina,2017,6.846406245
North Dakota,1990,7.5
North Dakota,1995,7.1
North Dakota,1999,6.6
North Dakota,2000,7.2
North Dakota,2001,6.5
North Dakota,2002,6.8
North Dakota,2003,7.1
North Dakota,2004,6.9
North Dakota,2005,6.8
North Dakota,2006,6.7
North Dakota,2007,6.6
North Dakota,2008,6.5
North Dakota,2009,6.4
North Dakota,2010,6.5
North Dakota,2011,6.7
North Dakota,2012,6.6
North Dakota,2013,6.340951599
North Dakota,2014,6.300356195
North Dakota,2015,6.172325733
North Dakota,2016,5.955522249
North Dakota,2017,5.761239514
Ohio,1990,9
Ohio,1995,8
Ohio,1999,7.8
Ohio,2000,7.8
Ohio,2001,7.2
Ohio,2002,7
Ohio,2003,6.7
Ohio,2004,6.6
Ohio,2005,6.5
Ohio,2006,6.3
Ohio,2007,6.1
Ohio,2008,6
Ohio,2009,5.8
Ohio,2010,5.8
Ohio,2011,5.9
Ohio,2012,5.8
Ohio,2013,5.708935798
Ohio,2014,5.751514792
Ohio,2015,5.905580121
Ohio,2016,5.956154499
Ohio,2017,5.821191876
Oklahoma,1990,10.6
Oklahoma,1995,8.6
Oklahoma,1999,6.8
Oklahoma,2004,6.5
Oklahoma,2005,7.3
Oklahoma,2006,7.3
Oklahoma,2007,7.3
Oklahoma,2008,7.1
Oklahoma,2009,6.9
Oklahoma,2010,7.2
Oklahoma,2011,6.9
Oklahoma,2012,6.9
Oklahoma,2013,7.083370557
Oklahoma,2014,7.075203498
Oklahoma,2015,7.418944617
Oklahoma,2016,6.678881761
Oklahoma,2017,6.815295569
Oregon,1990,8.9
Oregon,1995,8.1
Oregon,1999,7.6
Oregon,2000,7.6
Oregon,2001,7.5
Oregon,2002,7.1
Oregon,2003,7.2
Oregon,2004,8.1
Oregon,2005,7.3
Oregon,2006,7.3
Oregon,2007,7.2
Oregon,2008,6.9
Oregon,2009,6.6
Oregon,2010,6.5
Oregon,2011,6.6
Oregon,2012,6.6
Oregon,2013,6.334755278
Oregon,2014,6.834097393
Oregon,2015,6.887356269
Oregon,2016,6.859225619
Oregon,2017,6.660992533
Pennsylvania,1990,7.1
Pennsylvania,1995,6.2
Pennsylvania,1999,6.1
Pennsylvania,2000,6
Pennsylvania,2001,5.8
Pennsylvania,2002,5.7
Pennsylvania,2003,5.9
Pennsylvania,2004,5.9
Pennsylvania,2005,5.8
Pennsylvania,2006,5.7
Pennsylvania,2007,5.7
Pennsylvania,2008,5.5
Pennsylvania,2009,5.3
Pennsylvania,2010,5.3
Pennsylvania,2011,5.3
Pennsylvania,2012,5.5
Pennsylvania,2013,5.432290671
Pennsylvania,2014,5.842870012
Pennsylvania,2015,5.684591521
Pennsylvania,2016,5.778683373
Pennsylvania,2017,5.72439875
Rhode Island,1990,8.1
Rhode Island,1995,7.3
Rhode Island,1999,7.5
Rhode Island,2000,7.6
Rhode Island,2001,8.1
Rhode Island,2002,7.8
Rhode Island,2003,7.8
Rhode Island,2004,7.7
Rhode Island,2005,7
Rhode Island,2006,6.6
Rhode Island,2007,6.4
Rhode Island,2008,6.1
Rhode Island,2009,5.9
Rhode Island,2010,5.8
Rhode Island,2011,6
Rhode Island,2012,6.1
Rhode Island,2013,6.212964011
Rhode Island,2014,6.669996294
Rhode Island,2015,6.353320749
Rhode Island,2016,6.710361161
Rhode Island,2017,6.767399086
South Carolina,1990,15.9
South Carolina,1995,11.9
South Carolina,1999,10.2
South Carolina,2000,10.6
South Carolina,2001,9.9
South Carolina,2002,9.3
South Carolina,2003,9
South Carolina,2004,8.2
South Carolina,2005,8.3
South Carolina,2006,7.8
South Carolina,2007,7.9
South Carolina,2008,7.3
South Carolina,2009,7.3
South Carolina,2010,7.4
South Carolina,2011,7.2
South Carolina,2012,7.4
South Carolina,2013,7.142020914
South Carolina,2014,7.624032536
South Carolina,2015,7.498346659
South Carolina,2016,6.632979374
South Carolina,2017,7.03431615
South Dakota,1990,11.1
South Dakota,1995,9.9
South Dakota,1999,9.1
South Dakota,2000,9.4
South Dakota,2001,8.9
South Dakota,2002,8.8
South Dakota,2003,8.4
South Dakota,2004,8.4
South Dakota,2005,8.4
South Dakota,2006,8
South Dakota,2007,7.8
South Dakota,2008,7.7
South Dakota,2009,7.3
South Dakota,2010,7.3
South Dakota,2011,7.5
South Dakota,2012,7.5
South Dakota,2013,7.0057535
South Dakota,2014,7.073578105
South Dakota,2015,7.214005398
South Dakota,2016,7.247063391
South Dakota,2017,6.742818507
Tennessee,1990,13.9
Tennessee,1995,15.5
Tennessee,1999,14.7
Tennessee,2000,15.5
Tennessee,2001,13.5
Tennessee,2002,13.1
Tennessee,2003,11.9
Tennessee,2004,11.4
Tennessee,2005,10.9
Tennessee,2006,10.6
Tennessee,2007,10.1
Tennessee,2008,9.4
Tennessee,2009,8.4
Tennessee,2010,8.8
Tennessee,2011,9
Tennessee,2012,8.8
Tennessee,2013,8.44784265
Tennessee,2014,8.409228882
Tennessee,2015,8.502342091
Tennessee,2016,8.614092447
Tennessee,2017,8.234385311
Texas,1990,10.5
Texas,1995,9.9
Texas,1999,9.1
Texas,2000,9.4
Texas,2001,9.1
Texas,2002,8.4
Texas,2003,8.1
Texas,2004,8
Texas,2005,7.8
Texas,2006,7.6
Texas,2007,7.4
Texas,2008,7.3
Texas,2009,7.1
Texas,2010,7.1
Texas,2011,7.1
Texas,2012,7.3
Texas,2013,6.976355625
Texas,2014,6.851589115
Texas,2015,7.2144664
Texas,2016,7.077624784
Texas,2017,7.096126721
Utah,1990,11.2
Utah,1995,10.7
Utah,1999,9.6
Utah,2000,10.8
Utah,2001,10.2
Utah,2002,10.4
Utah,2003,10.2
Utah,2004,9.9
Utah,2005,9.8
Utah,2006,9.2
Utah,2007,9.6
Utah,2008,9
Utah,2009,8.4
Utah,2010,8.5
Utah,2011,8.6
Utah,2012,8.4
Utah,2013,7.503605812
Utah,2014,7.317946707
Utah,2015,8.075986033
Utah,2016,8.990183261
Utah,2017,8.720650016
Vermont,1990,10.9
Vermont,1995,10.3
Vermont,1999,10
Vermont,2000,10
Vermont,2001,9.8
Vermont,2002,9.8
Vermont,2003,9.7
Vermont,2004,9.4
Vermont,2005,8.9
Vermont,2006,8.6
Vermont,2007,8.5
Vermont,2008,7.9
Vermont,2009,8.7
Vermont,2010,9.3
Vermont,2011,8.3
Vermont,2012,8.2
Vermont,2013,9.155322918
Vermont,2014,8.698261305
Vermont,2015,8.124055575
Vermont,2016,8.299791545
Vermont,2017,7.908193125
Virginia,1990,11.4
Virginia,1995,10.2
Virginia,1999,9.2
Virginia,2000,8.8
Virginia,2001,8.8
Virginia,2002,8.6
Virginia,2003,8.4
Virginia,2004,8.3
Virginia,2005,8.2
Virginia,2006,7.8
Virginia,2007,7.5
Virginia,2008,7.2
Virginia,2009,6.9
Virginia,2010,6.8
Virginia,2011,6.8
Virginia,2012,6.8
Virginia,2013,6.657784939
Virginia,2014,6.744421194
Virginia,2015,6.980323138
Virginia,2016,6.988628366
Virginia,2017,6.78357312
Washington,1990,9.5
Washington,1995,7.7
Washington,1999,7.2
Washington,2000,6.9
Washington,2001,7
Washington,2002,6.5
Washington,2003,6.5
Washington,2004,6.5
Washington,2005,6.5
Washington,2006,6.5
Washington,2007,6.4
Washington,2008,6.3
Washington,2009,6
Washington,2010,6
Washington,2011,6.1
Washington,2012,6.3
Washington,2013,7.110330398
Washington,2014,6.956141233
Washington,2015,6.21936081
Washington,2016,6.235592755
Washington,2017,6.246908649
West Virginia,1990,7.2
West Virginia,1995,6.1
West Virginia,1999,7.5
West Virginia,2000,8.7
West Virginia,2001,7.9
West Virginia,2002,8.1
West Virginia,2003,7.5
West Virginia,2004,7.5
West Virginia,2005,7.4
West Virginia,2006,7.3
West Virginia,2007,7.3
West Virginia,2008,7.1
West Virginia,2009,6.7
West Virginia,2010,6.7
West Virginia,2011,7.2
West Virginia,2012,7
West Virginia,2013,6.644002278
West Virginia,2014,6.669095068
West Virginia,2015,6.574923216
West Virginia,2016,6.35409715
West Virginia,2017,6.311620353
Wisconsin,1990,7.9
Wisconsin,1995,7
Wisconsin,1999,6.7
Wisconsin,2000,6.7
Wisconsin,2001,6.5
Wisconsin,2002,6.3
Wisconsin,2003,6.2
Wisconsin,2004,6.2
Wisconsin,2005,6.1
Wisconsin,2006,6
Wisconsin,2007,5.7
Wisconsin,2008,5.6
Wisconsin,2009,5.3
Wisconsin,2010,5.3
Wisconsin,2011,5.3
Wisconsin,2012,5.4
Wisconsin,2013,5.219135973
Wisconsin,2014,5.691295833
Wisconsin,2015,5.611351408
Wisconsin,2016,5.616134264
Wisconsin,2017,5.634560571
Wyoming,1990,10.7
Wyoming,1995,10.6
Wyoming,1999,9.9
Wyoming,2000,10
Wyoming,2001,10
Wyoming,2002,9.5
Wyoming,2003,9.3
Wyoming,2004,9.3
Wyoming,2005,9.3
Wyoming,2006,9.3
Wyoming,2007,9
Wyoming,2008,8.6
Wyoming,2009,8
Wyoming,2010,7.6
Wyoming,2011,7.8
Wyoming,2012,7.6
Wyoming,2013,7.549883465
Wyoming,2014,7.658952364
Wyoming,2015,7.34166287
Wyoming,2016,7.079407209
Wyoming,2017,7.125657026
